GAIASGameID,PlatformCode,IGDBID,IGDBName,OverrideReason
199,WIIU,21066,Batman Arkham Origins: Blackgate - Deluxe Edition,GAIAS title omits the IGDB edition designation
703,WIIU,19644,Falling Skies: The Game,GAIAS title omits the IGDB subtitle
1167,WIIU,3990,Mario & Sonic at the Sochi 2014 Olympic Winter Games,GAIAS and IGDB use different word order in the subtitle
1356,WIIU,5552,Oddworld: New 'n' Tasty,GAIAS title includes the older Abe's Oddysee naming not used by IGDB for the Wii U release
1493,WIIU,84799,Punch-Out!!,GAIAS title includes the Mr. Dream edition descriptor while IGDB uses the base Punch-Out!! title
1812,WIIU,20858,SpongeBob SquarePants: Plankton's Robotic Revenge,GAIAS title omits the SquarePants franchise name used by IGDB
1568,WIIU,150045,Resident Evil: Revelations,GAIAS Wii U copy corresponds to the 2013 HD console release rather than the original 3DS release lineage
1215,WIIU,1101,Metroid,GAIAS Wii U copy corresponds to the Western NES/Wii U Virtual Console release lineage rather than the Japanese Famicom Disk System lineage
1984,WIIU,23514,The Amazing Spider-Man: Ultimate Edition,GAIAS title omits the Wii U Ultimate Edition designation
21,PS4,131845,A Monster's Expedition,GAIAS title includes an extended parenthetical subtitle not used by IGDB
52,PS5,358534,The Adventures of Elliot: The Millennium Tales,GAIAS title omits leading The and misspells Millennium
70,PS5,198385,Alice Gear Aegis CS: Concerto of Simulatrix,GAIAS source title misspells Simulatrix
87,PS4,131785,Amnesia: Rebirth,GAIAS source title contains a spelling error
89,PS4,25082,Amnesia: Collection,GAIAS title includes The not used by IGDB
129,PS4,1970,Assassin's Creed IV Black Flag,GAIAS title uses Arabic 4 while IGDB uses Roman numeral IV
171,PS5,347639,Atomic Heart II,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
189,PS4,124786,Baldur's Gate and Baldur's Gate II: Enhanced Editions,GAIAS title differs in punctuation and singular/plural edition wording
128,PS4,109532,Assassin's Creed III Remastered,IGDB contains duplicate equivalent records; selected the primary record with the canonical slug
222,PS4,148499,Behind the Frame: The Finest Scenery,GAIAS title uses the shortened title Behind the Frame
236,PS4,297231,Beyond the Ice Palace II,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
256,PS4,165390,Blasphemous II,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
291,PS4,14548,Borderlands: The Handsome Collection,GAIAS title omits the colon and article The
306,PS4,262651,Broken Sword: Shadow of the Templars Reforged,GAIAS title differs in punctuation and uses singular Templar instead of IGDB Templars
319,PS4,214486,Bulwark Evolution: Falconeer Chronicles,GAIAS title uses the earlier Bulwark: Falconeer Chronicles naming
323,PS4,127354,Convergence: A League of Legends Story,GAIAS uses the stylized CONV/RGENCE spelling while IGDB uses Convergence
358,PS4,109594,Castlevania Requiem: Symphony of the Night & Rondo of Blood,GAIAS uses the shortened Castlevania Requiem title
409,PS5,347636,Code Vein II,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
221,PS4,13391,Bedlam,GAIAS uses the extended marketing title Bedlam: The Game by Christopher Brookmyre while IGDB uses Bedlam
241,PS4,117984,Black Clover: Quartet Knights Deluxe Edition,IGDB has the exact Deluxe Edition record but does not currently provide platform metadata for it
263,PS4,323372,Blood Omen 2: Legacy of Kain,GAIAS uses the extended The Legacy of Kain Series wording while IGDB uses Legacy of Kain
393,PS4,94074,Cities: Skylines - PlayStation 4 Edition,GAIAS uses the base title while IGDB has a specific PlayStation 4 Edition record
453,PS4,25253,Cursed Castilla EX,GAIAS uses the shortened Cursed Castilla title while the PS4 release is Cursed Castilla EX
455,PS5,1877,Cyberpunk 2077,GAIAS source title misspells Cyberpunk
473,PS4,11133,Dark Souls III,GAIAS title uses Arabic 3 while IGDB uses Roman numeral III
480,PS5,358770,Darksiders 4,GAIAS title uses Roman numeral IV while IGDB uses Arabic 4
492,PS4,20063,Dead Nation: Apocalypse Edition,GAIAS title omits the Edition designation
508,PS4,41061,Death End Re;Quest,GAIAS title uses different capitalization and punctuation
519,PS4,337907,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,GAIAS source title misspells Hinokami as Hinomaki
524,PS4,22916,Destiny: The Collection,GAIAS title omits the article The
530,PS4,347125,Deus Ex: The Conspiracy,GAIAS title includes Deus Ex with an aka annotation for The Conspiracy
549,PS4,11594,Disgaea 5: Alliance of Vengeance,GAIAS title uses Roman V and misspells Vengeance
563,PS5,103337,Divinity: Original Sin II - Definitive Edition,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
564,PS4,14177,Divinity: Original Sin - Enhanced Edition,GAIAS title includes unnecessary Roman numeral I
580,PS4,7351,Doom,GAIAS uses Doom 2016 to distinguish the reboot while IGDB uses Doom
601,PS5,115060,Dragon's Dogma II,GAIAS title uses Arabic 2 while IGDB uses Roman numeral II
653,PS4,152245,Eiyuden Chronicle: Rising,GAIAS source title incorrectly uses Chronicles instead of Chronicle
665,PS5,218521,Enotria: The Last Song,GAIAS includes the Standard Edition designation while IGDB uses the base title
693,PS4,202149,F.E.A.R.,GAIAS PlayStation Plus title adds Campaign Mode while IGDB uses the base legacy PlayStation title
697,PS4,115851,F.I.S.T.: Forged In Shadow Torch,GAIAS omits punctuation used by IGDB
708,PS4,306139,Fantasian Neo Dimension,GAIAS capitalization and punctuation differ from IGDB
728,PS4,20329,Figment,GAIAS uses Figment 1 to distinguish the first game while IGDB uses Figment
739,PS4,14144,Final Fantasy X/X-2 HD Remaster,GAIAS adds Collection to the title while IGDB uses the base remaster title
811,PS4,11857,God Eater 2: Rage Burst,The PS4 release of God Eater 2 is the Rage Burst edition represented by IGDB
813,PS4,292896,Gods Eater Burst,GAIAS title uses God Eater Burst while IGDB uses Gods Eater Burst for the PS4 release
817,PS4,117883,God of War,GAIAS PlayStation Plus title identifies the HD version while IGDB records the PS3/Vita remaster as God of War
818,PS4,117882,God of War II,GAIAS PlayStation Plus title identifies the HD version while IGDB records the PS3/Vita remaster as God of War II
830,PS4,82387,Gone Home: Console Edition,GAIAS uses the base Gone Home title while IGDB identifies the PS4 release as Console Edition
836,PS5,358766,Gothic 3 Classic,GAIAS uses Roman numeral III while IGDB uses Arabic 3
877,PS4,166685,Hard West: Ultimate Edition,GAIAS source title misspells Edition
778,PS4,18452,Grip,GAIAS uses the marketing title GRIP: Combat Racing while IGDB uses the base title Grip
841,PS4,1020,Grand Theft Auto V,IGDB contains a derivative version record but 1020 is the canonical parent record for Grand Theft Auto V
